trade_id,timestamp_utc,ticker,side,order_qty,insider_date,insider_name,estimated_entry_price,take_profit_price,stop_loss_price,alpaca_order_id,status,exit_reason
2025-08-07-BWIN-buy-10000,2025-08-08T09:00:09.168284,BWIN,buy,0.387,2025-08-07,Hale Bradford,30.75,33.83,27.68,a2eb03a4-2663-4143-8f79-0be023e302e4,accepted,
2025-08-07-BWIN-buy-10000,2025-08-08T09:00:09.221265,BWIN,buy,0.387,2025-08-07,Hale Bradford,30.75,33.83,27.68,910ef085-1b3d-4216-8944-dccb291a46a2,accepted,
2025-08-06-BRO-buy-1000,2025-08-08T09:00:12.755404,BRO,buy,0.1286,2025-08-06,Masojada Bronislaw Edmund,92.54,101.79,83.29,199942a2-b7ea-4fa4-9c14-a7b09e9b39a8,accepted,
2025-08-06-BRO-buy-1000,2025-08-08T09:00:12.804456,BRO,buy,0.1286,2025-08-06,Masojada Bronislaw Edmund,92.54,101.79,83.29,594db7cd-88d2-4013-989a-fad286f73d28,accepted,
2025-08-05-OI-buy-2289,2025-08-08T09:00:15.131555,OI,buy,0.8911,2025-08-05,Haudrich John,13.355,14.69,12.02,a4e91649-e5ef-49f0-ac7b-ee554559213a,accepted,
2025-08-05-OI-buy-2289,2025-08-08T09:00:15.260764,OI,buy,0.8911,2025-08-05,Haudrich John,13.355,14.69,12.02,d8759708-1076-4194-ba86-82b940c29f5b,accepted,
2025-08-06-FRGE-buy-1950,2025-08-08T09:00:17.898220,FRGE,buy,0.5452,2025-08-06,Nevin James,21.825,24.01,19.64,4960cf7b-411e-4c5d-83ad-4d30a5c728d3,accepted,
2025-08-06-FRGE-buy-1950,2025-08-08T09:00:18.008579,FRGE,buy,0.5452,2025-08-06,Nevin James,21.825,24.01,19.64,c4ef6375-df7d-464b-85ef-d07cbdbb5d0f,accepted,
2025-08-07-RSVR-sell-74558,2025-08-08T09:00:20.141669,RSVR,sell,1,2025-08-07,Rothstein Adam,7.59,6.83,8.35,9afdf3ff-6778-4d46-bc50-9517a1255206,pending_new,
2025-08-07-RSVR-sell-74558,2025-08-08T09:00:20.273985,RSVR,sell,1,2025-08-07,Rothstein Adam,7.59,6.83,8.35,1c1469ee-8efa-4655-8ab6-2dd40e3cc3d3,pending_new,
2025-08-07-STIM-sell-98635,2025-08-08T09:00:22.635119,STIM,sell,2,2025-08-07,Furlong Stephen,4,3.6,4.4,6f7c2148-258e-49fc-aff6-38f691fefadd,pending_new,
2025-08-07-STIM-sell-98635,2025-08-08T09:00:22.781397,STIM,sell,2,2025-08-07,Furlong Stephen,4,3.6,4.4,5ac7de19-4aa0-4c0a-b8bb-b7e8246ab6ca,pending_new,
2025-08-06-PUMP-buy-4900,2025-08-08T09:00:26.540048,PUMP,buy,2.5813,2025-08-06,Sledge Samuel D,4.61,5.07,4.15,912cc6f8-98ec-4d7a-a492-682837801b1c,pending_new,
2025-08-06-PUMP-buy-4900,2025-08-08T09:00:26.687437,PUMP,buy,2.5813,2025-08-06,Sledge Samuel D,4.61,5.07,4.15,1b52ee52-0199-44f9-a0e9-7d27fefdc8ac,pending_new,
2025-08-05-AUB-buy-5000,2025-08-08T09:00:29.143294,AUB,buy,0.3792,2025-08-05,Ellett Frank Russell,31.38,34.52,28.24,1c342595-12f2-4274-8c78-b4aa67ce0126,accepted,
2025-08-05-AUB-buy-5000,2025-08-08T09:00:29.287643,AUB,buy,0.3792,2025-08-05,Ellett Frank Russell,31.38,34.52,28.24,6d4128e5-dc9a-4cb9-b5d9-497998bd0d61,accepted,
2025-08-07-TDUP-sell-50000,2025-08-08T09:00:32.227499,TDUP,sell,1,2025-08-07,GRADEN SEAN SOBERS,9.91,8.92,10.9,a2b626a1-eaeb-435c-a6c5-5493c12dac45,pending_new,
2025-08-07-TDUP-sell-50000,2025-08-08T09:00:32.378230,TDUP,sell,1,2025-08-07,GRADEN SEAN SOBERS,9.91,8.92,10.9,468508f6-eb5b-4279-9af7-6282738c63a9,pending_new,
2025-08-07-MQ-sell-2250000,2025-08-08T09:00:37.444271,MQ,sell,1,2025-08-07,The Gardner 2008 Living Trust,6.83,6.15,7.51,e31a45fe-a54c-4d50-9a00-4c01d14e662d,pending_new,
2025-08-07-MQ-sell-2250000,2025-08-08T09:00:37.603961,MQ,sell,1,2025-08-07,The Gardner 2008 Living Trust,6.83,6.15,7.51,9bef457c-84f4-47bc-b090-2af2d1433085,pending_new,
2025-08-07-BLND-sell-4000,2025-08-08T09:00:39.851651,BLND,sell,3,2025-08-07,Ling Winnie,3.57,3.21,3.93,cb1d40ab-8439-486c-8102-d8157f5e2276,pending_new,
2025-08-07-BLND-sell-4000,2025-08-08T09:00:39.977973,BLND,sell,3,2025-08-07,Ling Winnie,3.57,3.21,3.93,dffdd67d-5292-403f-8307-1093a5379167,pending_new,
2025-08-07-REAX-sell-104800,2025-08-08T09:00:42.096832,REAX,sell,2,2025-08-07,TAMIR POLEG,4.075,3.67,4.48,c7223f43-46cb-49d5-86d8-9b0d343c7444,pending_new,
2025-08-07-REAX-sell-104800,2025-08-08T09:00:42.268015,REAX,sell,2,2025-08-07,TAMIR POLEG,4.075,3.67,4.48,bb0534b1-3f8c-4826-af70-f2d947251b9b,pending_new,
2025-08-07-PTON-sell-30290,2025-08-08T09:00:44.358509,PTON,sell,1,2025-08-07,NICHOLAS CALDWELL,7.11,6.4,7.82,8eac6e4e-9502-4808-a31c-57f96d9e2cae,pending_new,
2025-08-07-PTON-sell-30290,2025-08-08T09:00:44.535864,PTON,sell,1,2025-08-07,NICHOLAS CALDWELL,7.11,6.4,7.82,d3b20427-e064-43db-bf0f-3c71e565bb22,pending_new,
2025-08-05-LUV-buy-1500,2025-08-08T09:00:46.741697,LUV,buy,0.4024,2025-08-05,Feinberg Sarah,29.57,32.53,26.61,e850c7e6-4f4a-4d11-92d4-b9bf58c322a8,accepted,
2025-08-05-LUV-buy-1500,2025-08-08T09:00:46.943566,LUV,buy,0.4024,2025-08-05,Feinberg Sarah,29.57,32.53,26.61,a8d3879b-c88c-4db5-b1fe-2f4d7efc8b4f,accepted,
2025-08-05-LUMN-buy-135870,2025-08-08T09:00:49.222234,LUMN,buy,3.2032,2025-08-05,Johnson Kathleen E,3.715,4.09,3.34,c6ef8b46-0203-4b9b-aeb4-b007498afc18,pending_new,
2025-08-05-LUMN-buy-135870,2025-08-08T09:00:49.436507,LUMN,buy,3.2032,2025-08-05,Johnson Kathleen E,3.715,4.09,3.34,f95a7adc-e31c-48d9-8ad3-c7d03ec2c729,pending_new,
